city_name,city_number,cloudiness,country,date,humidity,lat,lon,max_temp,win_peed
Fortuna,5563839,75,US,1613162854,100,40.5982,-124.1573,284.82,3.09
Ise,1861450,75,JP,1613163362,76,34.4833,136.7,282.15,4.63
Zheleznodorozhnyy,463355,90,RU,1613163327,85,55.7503,38.0042,259.26,7.0
Turukhansk,1488903,0,RU,1613163084,80,65.8167,87.9833,239.3,2.67
Bilibino,2126682,11,RU,1613163120,78,68.0546,166.4372,242.56,0.59
Evensk,2125693,0,RU,1613163124,75,61.95,159.2333,252.82,3.04
Norman Wells,6089245,1,CA,1613163132,84,65.282,-126.8329,250.15,2.06
Darnah,87205,3,LY,1613162983,71,32.767,22.6367,287.11,3.44
Port-Cartier,6111696,90,CA,1613163147,53,50.0334,-66.8654,268.15,5.14
George Town,1735106,20,MY,1613163110,83,5.4112,100.3354,300.15,2.48
Flin Flon,5954718,20,CA,1613163102,63,54.7682,-101.865,246.15,0.29
Ayagoz,1525988,9,KZ,1613163363,93,47.9714,80.4392,257.27,3.63
Margate,2643044,48,GB,1613163363,60,51.3813,1.3862,272.04,2.24
